Group,Element,Private Creator,VR,VM,Meaning,Rtn. Safe Priv. Opt.,IsInDICOMRetainSafePrivateTags,TCIA element_sig_pattern
0009,xxb7,GEMS_PETD_01,FL,,IR Pre Filt Param,keep,False,"(0009,xxb7)"
0009,xxb8,GEMS_PETD_01,FL,,IR Loop Filt Param,keep,False,"(0009,xxb8)"
0009,xxb9,GEMS_PETD_01,FL,,Response Filt Param,keep,False,"(0009,xxb9)"
0009,xxba,GEMS_PETD_01,SL,,Post Filter,keep,False,"(0009,xxba)"
0009,xxbb,GEMS_PETD_01,FL,,Post Filter Param,keep,False,"(0009,xxbb)"
0009,xxbc,GEMS_PETD_01,SL,,IR Regularize,keep,False,"(0009,xxbc)"
0009,xxbd,GEMS_PETD_01,FL,,IR Regularize Param,keep,False,"(0009,xxbd)"
0009,xxbe,GEMS_PETD_01,SL,,AC BP Filter,keep,False,"(0009,xxbe)"
0009,xxbf,GEMS_PETD_01,FL,,AC BP Filt Cutoff,keep,False,"(0009,xxbf)"
0009,xxc0,GEMS_PETD_01,SL,,AC BP Filt Order,keep,False,"(0009,xxc0)"
0009,xxc1,GEMS_PETD_01,SL,,AC Img Smooth,keep,False,"(0009,xxc1)"
0009,xxc2,GEMS_PETD_01,FL,,AC Img Smooth Parm,keep,False,"(0009,xxc2)"
0009,xxc3,GEMS_PETD_01,SL,,Scatter Method,keep,False,"(0009,xxc3)"
0009,xxc4,GEMS_PETD_01,SL,,Scatter Num Iter,keep,False,"(0009,xxc4)"
0009,xxc5,GEMS_PETD_01,FL,,Scatter Parm,keep,False,"(0009,xxc5)"
0009,xxc6,GEMS_PETD_01,FL,,seg_qc_parm,keep,False,"(0009,xxc6)"
0009,xxc7,GEMS_PETD_01,SL,,overlap,keep,False,"(0009,xxc7)"
0009,xxcb,GEMS_PETD_01,FL,,vqc_x_axis_trans,keep,False,"(0009,xxcb)"
0009,xxcc,GEMS_PETD_01,FL,,vqc_x_axis_tilt,keep,False,"(0009,xxcc)"
0009,xxcd,GEMS_PETD_01,FL,,vqc_y_axis_trans,keep,False,"(0009,xxcd)"
0009,xxce,GEMS_PETD_01,FL,,vqc_y_axis_swivel,keep,False,"(0009,xxce)"
0009,xxcf,GEMS_PETD_01,FL,,vqc_z_axis_trans,keep,False,"(0009,xxcf)"
0009,xxd0,GEMS_PETD_01,FL,,vqc_z_axis_roll,keep,False,"(0009,xxd0)"
0009,xxd5,GEMS_PETD_01,FL,,loop_filter_parm,keep,False,"(0009,xxd5)"
0009,xxd6,GEMS_PETD_01,FL,,image_one_loc,keep,False,"(0009,xxd6)"
0009,xxd7,GEMS_PETD_01,FL,,image_index_loc,keep,False,"(0009,xxd7)"
0009,xxd8,GEMS_PETD_01,SL,,frame_number,keep,False,"(0009,xxd8)"
0009,xxdb,GEMS_PETD_01,SL,,ir_z_filter_flag,keep,False,"(0009,xxdb)"
0009,xxdc,GEMS_PETD_01,FL,,ir_z_filter_ratio,keep,False,"(0009,xxdc)"
0009,xxdf,GEMS_PETD_01,US,,num_of_slices,keep,False,"(0009,xxdf)"
0009,xxe0,GEMS_PETD_01,US,,num_of_time_slices,keep,False,"(0009,xxe0)"
0009,xxe2,GEMS_PETD_01,SL,,rest_stress,keep,False,"(0009,xxe2)"
0009,xxe3,GEMS_IDEN_01,LO,,Equipment UID,func:generate_hashuid,False,"(0009,xxe3)"
0009,xxe5,GEMS_PETD_01,FL,,left shift,keep,False,"(0009,xxe5)"
0009,xxe6,GEMS_PETD_01,FL,,posterior shift,keep,False,"(0009,xxe6)"
0009,xxe6,GEMS_IDEN_01,OB,,Genesis Version Now,keep,False,"(0009,xxe6)"
0009,xxe7,GEMS_PETD_01,FL,,superior shift,keep,False,"(0009,xxe7)"
0009,xxe9,GEMS_PETD_01,FL,,acq_bin_dur_percent,keep,False,"(0009,xxe9)"
0009,xxf0,FDMS 1.0,CS,,Blackening Process Flag,keep,False,"(0009,xxf0)"
0009,xxf1,FDMS 1.0,LO,,Processing Information Flag,keep,False,"(0009,xxf1)"
0009,xxf1,GEMS_PETD_01,SL,,PET prompt gamma,keep,False,"(0009,xxf1)"
0011,xx01,MMCPrivate,LO,,Is Rapid Registration,keep,False,"(0011,xx01)"
0011,xx02,MMCPrivate,LO,,Is Protected,keep,False,"(0011,xx02)"
0011,xx0b,GEMS_GENIE_1,SL,,Effective Series Duration,keep,False,"(0011,xx0b)"
